,formula,Temperature,target,ei,std
898,Nb69Al6C1Co24,24,223.1580247,1.47E-05,19.25750671
698,Nb65Al4C7Co24,24,214.1740637,1.15E-05,20.94763862
699,Nb64Al4C7Co25,24,214.0922385,1.06E-05,20.89466657
874,Nb63Al5C7Co25,24,214.4329431,1.01E-05,20.78326192
849,Nb64Al5C6Co25,24,214.1399546,9.57E-06,20.79438211
872,Nb65Al5C7Co23,24,215.0447581,7.16E-06,20.35771323
871,Nb66Al5C7Co22,24,217.299327,7.10E-06,19.88440581
873,Nb64Al5C7Co24,24,215.0369838,6.93E-06,20.33161907
897,Nb70Al6C1Co23,24,222.9536672,6.82E-06,18.68222716
981,Nb82Al6C5Co7,24,224.4125505,6.77E-06,18.37394365
982,Nb81Al6C5Co8,24,223.4544207,6.22E-06,18.50821753
502,Nb87Al3C7Co3,24,212.7999745,6.18E-06,20.69632046
957,Nb82Al6C4Co8,24,226.2221017,6.11E-06,17.92312606
848,Nb65Al5C6Co24,24,212.4097838,5.43E-06,20.668124
154,Nb87Al1C7Co5,24,209.3007353,5.35E-06,21.29075459
808,Nb81Al5C5Co9,24,220.1820802,4.60E-06,18.95008197
457,Nb84Al3C5Co8,24,214.7876018,4.12E-06,19.95993051
653,Nb86Al4C6Co4,24,213.5353444,4.09E-06,20.20898457
922,Nb69Al6C2Co23,24,219.3487719,3.80E-06,18.9744898
724,Nb69Al5C1Co25,24,214.1199902,3.71E-06,20.01316362
958,Nb81Al6C4Co9,24,222.7803333,3.68E-06,18.25846799
999,Nb64Al6C5Co25,24,211.2549142,3.67E-06,20.58275782
504,Nb85Al3C7Co5,24,212.2309444,3.50E-06,20.34796865
677,Nb86Al4C7Co3,24,213.1596501,3.50E-06,20.16108177
503,Nb86Al3C7Co4,24,212.8563072,3.32E-06,20.17967803
983,Nb80Al6C5Co9,24,221.5711301,3.28E-06,18.419358
654,Nb85Al4C6Co5,24,213.4992642,3.23E-06,20.03025104
130,Nb87Al1C6Co6,24,201.5912804,3.15E-06,22.39276679
328,Nb87Al2C7Co4,24,211.5656551,3.09E-06,20.38246995
329,Nb86Al2C7Co5,24,211.4340539,3.06E-06,20.40186831
129,Nb88Al1C6Co5,24,199.8504279,3.01E-06,22.70051554
480,Nb85Al3C6Co6,24,211.0952105,3.01E-06,20.45470973
805,Nb84Al5C5Co6,24,212.3622725,2.94E-06,20.1833866
479,Nb86Al3C6Co5,24,211.0916715,2.93E-06,20.43550489
921,Nb70Al6C2Co22,24,220.8499398,2.86E-06,18.46445608
152,Nb89Al1C7Co3,24,204.3188446,2.58E-06,21.68022702
899,Nb68Al6C1Co25,24,218.5420831,2.57E-06,18.85014957
946,Nb69Al6C3Co22,24,219.1498097,2.53E-06,18.71655378
280,Nb87Al2C5Co6,24,201.1141222,2.53E-06,22.29956673
807,Nb82Al5C5Co8,24,218.0759939,2.52E-06,18.92876346
783,Nb82Al5C4Co9,24,221.2631361,2.49E-06,18.28465841
829,Nb84Al5C6Co5,24,212.8915093,2.49E-06,19.9500415
806,Nb83Al5C5Co7,24,215.5207204,2.48E-06,19.42649243
632,Nb83Al4C5Co8,24,216.9629332,2.47E-06,19.13461297
153,Nb88Al1C7Co4,24,206.7914829,2.44E-06,21.14454129
980,Nb83Al6C5Co6,24,212.9296011,2.41E-06,19.91770426
305,Nb86Al2C6Co6,24,207.3889945,2.29E-06,20.97770736
631,Nb84Al4C5Co7,24,215.4188067,2.16E-06,19.34474251
831,Nb82Al5C6Co7,24,217.2704462,2.10E-06,18.95829914
828,Nb85Al5C6Co4,24,213.935114,2.07E-06,19.60541016
655,Nb84Al4C6Co6,24,211.637016,1.99E-06,20.0294749
107,Nb86Al1C5Co8,24,201.7402834,1.87E-06,21.92644287
306,Nb85Al2C6Co7,24,210.8395834,1.87E-06,20.13998732
678,Nb85Al4C7Co4,24,213.7366726,1.85E-06,19.56267101
830,Nb83Al5C6Co6,24,212.2712795,1.83E-06,19.84148613
363,Nb82Al3C1Co14,24,206.3723186,1.82E-06,20.99516678
304,Nb87Al2C6Co5,24,206.3958728,1.73E-06,20.95388477
481,Nb84Al3C6Co7,24,214.602459,1.73E-06,19.34467788
998,Nb65Al6C5Co24,24,210.0606036,1.73E-06,20.23522113
155,Nb86Al1C7Co6,24,207.8072445,1.73E-06,20.67486693
523,Nb66Al3C7Co24,24,207.0555015,1.69E-06,20.80585359
679,Nb84Al4C7Co5,24,212.0476876,1.65E-06,19.80923201
327,Nb88Al2C7Co3,24,209.1949178,1.63E-06,20.35808313
656,Nb83Al4C6Co7,24,216.6058448,1.60E-06,18.89295643
832,Nb81Al5C6Co8,24,214.2479598,1.59E-06,19.3539131
723,Nb70Al5C1Co24,24,216.3271481,1.58E-06,18.94036749
852,Nb85Al5C7Co3,24,215.2425584,1.58E-06,19.15192348
303,Nb88Al2C6Co4,24,203.3011757,1.54E-06,21.46442432
722,Nb71Al5C1Co23,24,216.1658183,1.53E-06,18.94898069
132,Nb85Al1C6Co8,24,206.158264,1.48E-06,20.87659634
547,Nb72Al4C1Co23,24,215.494833,1.47E-06,19.05328423
157,Nb84Al1C7Co8,24,212.1808541,1.46E-06,19.69619806
478,Nb87Al3C6Co4,24,209.0689514,1.43E-06,20.28644617
858,Nb79Al5C7Co9,24,219.1912433,1.41E-06,18.30138747
912,Nb79Al6C2Co13,24,218.8885467,1.39E-06,18.35370769
896,Nb71Al6C1Co22,24,221.8831294,1.39E-06,17.76756074
833,Nb80Al5C6Co9,24,218.739068,1.36E-06,18.36445888
824,Nb65Al5C5Co25,24,208.9410771,1.34E-06,20.26073663
281,Nb86Al2C5Co7,24,206.6696487,1.32E-06,20.69171743
133,Nb84Al1C6Co9,24,207.183332,1.30E-06,20.57827673
945,Nb70Al6C3Co21,24,216.4653669,1.29E-06,18.77287046
630,Nb85Al4C5Co6,24,210.7626991,1.28E-06,19.87298161
548,Nb71Al4C1Co24,24,214.2950267,1.27E-06,19.18525625
458,Nb83Al3C5Co9,24,213.7399852,1.27E-06,19.29132318
913,Nb78Al6C2Co14,24,218.3608518,1.26E-06,18.38896835
853,Nb84Al5C7Co4,24,214.2989716,1.23E-06,19.16338286
373,Nb72Al3C1Co24,24,211.7662782,1.21E-06,19.64222234
782,Nb83Al5C4Co8,24,216.818438,1.21E-06,18.66126913
307,Nb84Al2C6Co8,24,212.2661071,1.21E-06,19.54348622
156,Nb85Al1C7Co7,24,208.5528665,1.21E-06,20.26050735
283,Nb84Al2C5Co9,24,209.1921034,1.20E-06,20.13331344
959,Nb80Al6C4Co10,24,218.5131867,1.18E-06,18.31198152
549,Nb70Al4C1Co25,24,212.9073982,1.16E-06,19.39025929
854,Nb83Al5C7Co5,24,212.7060007,1.16E-06,19.42543757
846,Nb67Al5C6Co22,24,213.3756602,1.11E-06,19.26953362
934,Nb81Al6C3Co10,24,219.2000538,1.10E-06,18.13723563
784,Nb81Al5C4Co10,24,217.4100798,1.10E-06,18.48354612
82,Nb87Al1C4Co8,24,199.5127582,1.07E-06,21.91630037
455,Nb86Al3C5Co6,24,207.1521677,1.06E-06,20.43662401
798,Nb67Al5C4Co24,24,210.5222629,1.06E-06,19.78636095
923,Nb68Al6C2Co24,24,216.5287882,1.04E-06,18.61303847
282,Nb85Al2C5Co8,24,208.039366,1.00E-06,20.22520279
524,Nb65Al3C7Co25,24,208.9456153,9.86E-07,20.03818937
894,Nb73Al6C1Co20,24,222.4701981,9.86E-07,17.431828
674,Nb65Al4C6Co25,24,210.1635474,9.75E-07,19.79581898
105,Nb88Al1C5Co6,24,196.9473695,9.71E-07,22.32865384
258,Nb85Al2C4Co9,24,202.4509547,9.63E-07,21.26751367
330,Nb85Al2C7Co6,24,208.9383736,9.40E-07,20.005818
131,Nb86Al1C6Co7,24,203.5024604,9.37E-07,21.04578141
682,Nb81Al4C7Co8,24,213.3798265,9.26E-07,19.14221541
210,Nb85Al2C2Co11,24,199.8607198,9.20E-07,21.72849703
810,Nb79Al5C5Co11,24,215.6211832,9.08E-07,18.69807429
374,Nb71Al3C1Co25,24,210.6777689,9.06E-07,19.64559065
505,Nb84Al3C7Co6,24,210.189195,9.04E-07,19.73825327
948,Nb67Al6C3Co24,24,211.2384514,9.03E-07,19.53577534
680,Nb83Al4C7Co6,24,210.2858883,8.98E-07,19.71462527
633,Nb82Al4C5Co9,24,213.1915845,8.92E-07,19.15272981
673,Nb66Al4C6Co24,24,207.152654,8.79E-07,20.29946358
697,Nb66Al4C7Co23,24,209.8609173,8.62E-07,19.76751493
84,Nb85Al1C4Co10,24,202.3723277,8.62E-07,21.1990076
657,Nb82Al4C6Co8,24,214.5610774,8.60E-07,18.86527863
572,Nb71Al4C2Co23,24,212.5305319,8.58E-07,19.25264035
